Time,A/F Correction #1 (%),Accelerator Pedal Angle (%),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),IAM (4-byte)* (multiplier),Mass Airflow (g/s),Requested Torque* (raw ecu value),Vehicle Speed (mph),Phidget IK Sensor 267583:0 (AFR),Manifold Absolute Pressure (psi),Manifold Relative Pressure (Corrected) (psi)
13:14:11.909,-1.56,16.47,8,0.61,2710,0.00,0.00,1.0000,27.71,197.40,11,14.13,8.27,-6.09
13:14:12.005,-3.12,16.47,8,0.60,2810,0.00,0.00,1.0000,27.71,197.86,11,14.12,8.27,-6.09
13:14:12.084,-2.34,16.47,8,0.60,2807,0.00,0.00,1.0000,27.50,197.37,11,14.05,8.13,-6.24
13:14:12.164,-3.91,16.47,8,0.59,2859,0.00,0.00,1.0000,28.03,196.43,12,14.15,8.13,-6.24
13:14:12.245,-4.69,16.47,8,0.58,2876,0.00,0.00,1.0000,27.95,195.44,12,14.15,8.13,-6.24
13:14:12.325,-4.69,16.47,8,0.58,2916,0.00,0.00,1.0000,27.95,193.19,12,14.08,8.13,-6.24
13:14:12.404,-5.47,16.47,8,0.57,2974,0.00,0.00,1.0000,28.26,191.34,12,14.13,8.13,-6.24
13:14:12.484,-6.25,16.47,8,0.57,3005,0.00,0.00,1.0000,27.74,190.74,12,14.22,8.13,-6.38
13:14:12.564,-7.81,16.47,8,0.56,2958,0.00,0.00,1.0000,28.69,190.00,14,14.11,7.98,-6.38
13:14:12.648,-8.59,16.47,8,0.55,3069,0.00,0.00,1.0000,28.48,187.95,14,13.99,7.98,-6.38
13:14:12.725,-8.59,16.47,8,0.55,3106,0.00,0.00,1.0000,28.48,186.28,14,13.99,7.84,-6.53
13:14:12.822,-8.59,16.47,8,0.55,3118,0.00,0.00,1.0000,28.16,185.72,14,14.16,7.69,-6.53
13:14:12.899,-8.59,16.47,8,0.54,3166,0.00,0.00,1.0000,28.79,187.90,14,14.32,7.69,-6.67
13:14:12.980,-8.59,16.86,8,0.54,3263,0.00,0.00,1.0000,27.98,204.00,14,14.34,7.69,-6.67
13:14:13.060,-7.81,18.04,8,0.54,3220,0.00,0.00,1.0000,30.42,204.59,15,14.44,7.69,-6.67
13:14:13.139,-6.25,18.04,8,0.56,3260,0.00,0.00,1.0000,31.22,206.08,15,14.48,7.84,-6.53
13:14:13.219,-3.12,18.43,8,0.56,3292,0.00,0.00,1.0000,31.33,204.71,15,14.95,7.84,-6.53
13:14:13.299,-2.34,18.43,8,0.56,3285,0.00,0.00,1.0000,30.54,204.20,15,15.23,7.69,-6.67
13:14:13.380,-3.91,18.43,8,0.55,3335,0.00,0.00,1.0000,30.88,204.26,15,14.81,7.69,-6.67
13:14:13.461,-3.91,18.43,8,0.54,3388,0.00,0.00,1.0000,29.88,201.84,15,14.41,7.55,-6.82
13:14:13.555,-3.91,18.43,8,0.53,3440,0.00,0.00,1.0000,29.99,201.68,16,14.33,7.55,-6.96
13:14:13.637,-3.91,18.43,8,0.53,3434,0.00,0.00,1.0000,30.20,200.34,16,14.37,7.40,-7.11
13:14:13.716,-3.91,18.43,8,0.52,3469,0.00,0.00,1.0000,29.80,198.77,16,14.35,7.25,-7.11
13:14:13.796,-3.12,18.43,8,0.51,3464,0.00,0.00,1.0000,29.38,197.92,16,14.40,7.11,-7.25
13:14:13.876,-3.12,18.43,8,0.50,3542,0.00,0.00,1.0000,29.38,198.21,16,14.40,6.96,-7.40
13:14:13.956,-2.34,18.43,8,0.49,3544,0.00,0.00,1.0000,29.06,196.80,16,14.46,6.96,-7.40
13:14:14.035,-1.56,18.43,8,0.49,3648,0.00,0.00,1.0000,29.38,195.75,17,14.45,6.82,-7.55
13:14:14.115,0.00,18.43,8,0.49,3596,0.00,0.00,1.0000,29.38,195.78,17,14.46,6.82,-7.55
13:14:14.196,0.78,18.43,8,0.49,3619,0.00,0.00,1.0000,29.17,195.62,17,14.57,6.67,-7.69
13:14:14.292,0.78,16.86,8,0.48,3650,0.00,0.00,1.0000,29.59,42.02,17,14.56,6.67,-7.69
13:14:14.372,0.00,0.00,8,0.39,3659,0.00,0.00,1.0000,13.96,0.00,17,14.46,6.24,-8.85
13:14:14.451,0.00,0.00,10,0.30,3610,0.00,0.00,1.0000,12.16,0.00,18,14.38,4.64,-10.01
13:14:14.532,0.00,0.00,10,0.26,3578,0.00,0.00,1.0000,15.35,0.00,18,14.26,4.06,-10.45
13:14:14.611,0.00,0.00,10,0.24,3542,0.00,0.00,1.0000,15.69,0.00,18,13.92,3.92,-10.45
13:14:14.691,0.00,0.00,10,0.22,3497,0.00,0.00,1.0000,15.06,0.00,18,13.29,3.92,-10.45
13:14:14.771,0.00,0.78,10,0.23,3396,0.00,0.00,1.0000,14.35,2.17,18,12.95,3.92,-10.30
13:14:14.851,0.00,3.14,10,0.23,3383,0.00,0.00,1.0000,12.05,43.08,18,12.93,3.92,-10.45
13:14:14.932,0.00,7.45,10,0.23,3344,0.00,0.00,1.0000,10.87,98.07,19,13.20,3.77,-10.59
13:14:15.028,0.00,15.29,10,0.23,3300,0.00,0.00,1.0000,18.24,175.34,19,14.15,3.77,-10.45
13:14:15.107,0.00,16.08,10,0.39,3222,0.00,0.00,1.0000,26.38,174.91,19,14.64,5.37,-8.42
13:14:15.187,0.00,16.08,10,0.47,3261,0.00,0.00,1.0000,27.50,175.43,19,12.78,6.67,-7.40
13:14:15.267,0.00,16.08,10,0.51,3200,0.00,0.00,1.0000,27.92,178.77,19,12.73,7.11,-7.11
13:14:15.347,0.00,16.08,10,0.53,3047,0.00,0.00,1.0000,27.29,185.93,19,14.13,7.40,-6.82
13:14:15.426,0.00,16.08,10,0.56,2851,0.00,0.00,1.0000,27.29,190.38,19,14.41,7.69,-6.53
13:14:15.506,0.00,16.08,10,0.58,2698,0.00,0.00,1.0000,26.37,187.99,19,14.24,7.84,-6.38
13:14:15.586,0.00,16.08,10,0.61,2576,0.00,0.00,1.0000,26.46,184.93,19,14.11,7.98,-6.24
13:14:15.666,0.00,16.08,10,0.63,2412,0.00,0.00,1.0000,26.18,205.88,19,14.40,8.27,-5.95
