Time,A/F Correction #1 (%),Accelerator Pedal Angle (%),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),IAM (4-byte)* (multiplier),Mass Airflow (g/s),Requested Torque* (raw ecu value),Vehicle Speed (mph),Phidget IK Sensor 267583:0 (AFR),Manifold Absolute Pressure (psi),Manifold Relative Pressure (Corrected) (psi)
13:14:11.909,-1.56,16.47,8,0.61,2710,0,0,1,27.71,197.4,11,14.13,8.27,-6.09
13:14:12.005,-3.12,16.47,8,0.6,2810,0,0,1,27.71,197.86,11,14.12,8.27,-6.09
13:14:12.084,-2.34,16.47,8,0.6,2807,0,0,1,27.5,197.37,11,14.05,8.13,-6.24
13:14:12.164,-3.91,16.47,8,0.59,2859,0,0,1,28.03,196.43,12,14.15,8.13,-6.24
13:14:12.245,-4.69,16.47,8,0.58,2876,0,0,1,27.95,195.44,12,14.15,8.13,-6.24
13:14:12.325,-4.69,16.47,8,0.58,2916,0,0,1,27.95,193.19,12,14.08,8.13,-6.24
13:14:12.404,-5.47,16.47,8,0.57,2974,0,0,1,28.26,191.34,12,14.13,8.13,-6.24
13:14:12.484,-6.25,16.47,8,0.57,3005,0,0,1,27.74,190.74,12,14.22,8.13,-6.38
13:14:12.564,-7.81,16.47,8,0.56,2958,0,0,1,28.69,190,14,14.11,7.98,-6.38
13:14:12.648,-8.59,16.47,8,0.55,3069,0,0,1,28.48,187.95,14,13.99,7.98,-6.38
13:14:12.725,-8.59,16.47,8,0.55,3106,0,0,1,28.48,186.28,14,13.99,7.84,-6.53
13:14:12.822,-8.59,16.47,8,0.55,3118,0,0,1,28.16,185.72,14,14.16,7.69,-6.53
13:14:12.899,-8.59,16.47,8,0.54,3166,0,0,1,28.79,187.9,14,14.32,7.69,-6.67
13:14:12.980,-8.59,16.86,8,0.54,3263,0,0,1,27.98,204,14,14.34,7.69,-6.67
13:14:13.060,-7.81,18.04,8,0.54,3220,0,0,1,30.42,204.59,15,14.44,7.69,-6.67
13:14:13.139,-6.25,18.04,8,0.56,3260,0,0,1,31.22,206.08,15,14.48,7.84,-6.53
13:14:13.219,-3.12,18.43,8,0.56,3292,0,0,1,31.33,204.71,15,14.95,7.84,-6.53
13:14:13.299,-2.34,18.43,8,0.56,3285,0,0,1,30.54,204.2,15,15.23,7.69,-6.67
13:14:13.380,-3.91,18.43,8,0.55,3335,0,0,1,30.88,204.26,15,14.81,7.69,-6.67
13:14:13.461,-3.91,18.43,8,0.54,3388,0,0,1,29.88,201.84,15,14.41,7.55,-6.82
13:14:13.555,-3.91,18.43,8,0.53,3440,0,0,1,29.99,201.68,16,14.33,7.55,-6.96
13:14:13.637,-3.91,18.43,8,0.53,3434,0,0,1,30.2,200.34,16,14.37,7.4,-7.11
13:14:13.716,-3.91,18.43,8,0.52,3469,0,0,1,29.8,198.77,16,14.35,7.25,-7.11
13:14:13.796,-3.12,18.43,8,0.51,3464,0,0,1,29.38,197.92,16,14.4,7.11,-7.25
13:14:13.876,-3.12,18.43,8,0.5,3542,0,0,1,29.38,198.21,16,14.4,6.96,-7.4
